Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,MORT-30-COPD Achievement Threshold,MORT-30-COPD Benchmark,MORT-30-COPD Baseline Rate,MORT-30-COPD Performance Rate,MORT-30-COPD Achievement Points,MORT-30-COPD Improvement Points,MORT-30-COPD Measure Score,MORT-30-CABG Achievement Threshold,MORT-30-CABG Benchmark,MORT-30-CABG Baseline Rate,MORT-30-CABG Performance Rate,MORT-30-CABG Achievement Points,MORT-30-CABG Improvement Points,MORT-30-CABG Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
2024,10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.869247,0.887868,0.856752,0.880237,6 out of 10,7 out of 9,7 out of 10,0.882308,0.907733,0.872117,0.901917,7 out of 10,8 out of 9,8 out of 10,0.840281,0.872976,0.833710,0.815392,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.905159,0.909860,0 out of 10,1 out of 9,1 out of 10,0.969499,0.980319,0.954926,0.958983,0 out of 10,1 out of 9,1 out of 10,0.025396,0.018159,0.030343,0.022314,4 out of 10,6 out of 9,6 out of 10
2024,10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.869247,0.887868,0.848053,0.864067,0 out of 10,4 out of 9,4 out of 10,0.882308,0.907733,0.854099,0.856339,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.789256,0.765414,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.892007,0.898823,0 out of 10,1 out of 9,1 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.030034,0.019253,8 out of 10,9 out of 9,9 out of 10
2024,10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.869247,0.887868,0.853581,0.835481,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.872053,0.866923,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.824859,0.805453,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.908992,0.899168,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.967735,0.963606,0 out of 10,0 out of 9,0 out of 10,0.025396,0.018159,0.035949,0.037582,0 out of 10,0 out of 9,0 out of 10
2024,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.865767,0.874346,0 out of 10,2 out of 9,2 out of 10,0.840281,0.872976,0.780354,0.717560,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.917078,0.865260,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.027836,Not Available,Not Available,Not Available,Not Available
2024,10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,0.869247,0.887868,0.859425,0.868485,0 out of 10,3 out of 9,3 out of 10,0.882308,0.907733,0.872458,0.858843,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.830560,0.782196,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.905170,0.894272,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.962992,0.973731,4 out of 10,6 out of 9,6 out of 10,0.025396,0.018159,0.026092,0.026132,0 out of 10,0 out of 9,0 out of 10
2024,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.869247,0.887868,0.844917,0.863322,0 out of 10,4 out of 9,4 out of 10,0.882308,0.907733,0.864582,0.871115,0 out of 10,1 out of 9,1 out of 10,0.840281,0.872976,0.774330,0.778743,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.915937,Not Available,Not Available,Not Available,Not Available,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,0.031643,0 out of 10,Not Available,0 out of 10
2024,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.869247,0.887868,0.841463,0.869585,1 out of 10,6 out of 9,6 out of 10,0.882308,0.907733,0.866485,0.891958,4 out of 10,6 out of 9,6 out of 10,0.840281,0.872976,0.832975,0.819474,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.923868,0.904842,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.967108,0.970258,1 out of 10,2 out of 9,2 out of 10,0.025396,0.018159,0.022485,0.032188,0 out of 10,0 out of 9,0 out of 10
2024,10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.869247,0.887868,0.860040,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.853913,0.834532,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.836303,0.734073,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.929581,0.918649,2 out of 10,0 out of 9,2 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,0.020573,0.028925,0 out of 10,0 out of 9,0 out of 10
2024,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,0.869247,0.887868,Not Available,Not Available,Not Available,Not Available,Not Available,0.882308,0.907733,0.873088,0.869553,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.853535,0.812951,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.936257,0.908098,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,Not Available,Not Available,Not Available,Not Available,Not Available,0.025396,0.018159,Not Available,Not Available,Not Available,Not Available,Not Available
2024,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.869247,0.887868,0.868692,0.861290,0 out of 10,0 out of 9,0 out of 10,0.882308,0.907733,0.875468,0.875258,0 out of 10,0 out of 9,0 out of 10,0.840281,0.872976,0.816479,0.796078,0 out of 10,0 out of 9,0 out of 10,0.916491,0.934002,0.890092,0.891969,0 out of 10,0 out of 9,0 out of 10,0.969499,0.980319,0.941000,0.970871,2 out of 10,7 out of 9,7 out of 10,0.025396,0.018159,0.024595,0.021246,6 out of 10,5 out of 9,6 out of 10
