Fiscal Year,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
2024,10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.589,0,0.742,1.136,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.324,0.437,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0.717,0,0.650,0.684,1 out of 10,0 out of 9,1 out of 10,0.738,0,0.000,Not Available,Not Available,Not Available,Not Available,0.726,0,0.548,0.788,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.537,0.631,0 out of 10,0 out of 9,0 out of 10
2024,10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.589,0,0.000,2.349,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.073,0.664,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0.717,0,0.508,1.733,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.938,0.531,3 out of 10,7 out of 9,7 out of 10,0.52,0.014,0.565,0.487,1 out of 10,1 out of 9,1 out of 10
2024,10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.589,0,0.000,0.661,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.222,0.329,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0.717,0,0.820,0.000,10 out of 10,9 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.654,1.589,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.426,0.043,9 out of 10,9 out of 9,9 out of 10
2024,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.000,0.386,3 out of 10,0 out of 9,3 out of 10
2024,10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,0.589,0,0.421,0.933,0 out of 10,0 out of 9,0 out of 10,0.65,0,0.598,0.756,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0.717,0,0.930,0.247,6 out of 10,7 out of 9,7 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.964,0.861,0 out of 10,1 out of 9,1 out of 10,0.52,0.014,0.343,0.674,0 out of 10,0 out of 9,0 out of 10
2024,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.194,0.316,4 out of 10,0 out of 9,4 out of 10
2024,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.589,0,0.182,0.377,4 out of 10,0 out of 9,4 out of 10,0.65,0,0.357,0.461,3 out of 10,0 out of 9,3 out of 10,10 out of 10,0.717,0,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,0.337,0.732,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.485,0.556,0 out of 10,0 out of 9,0 out of 10
2024,10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.589,0,2.597,2.255,0 out of 10,1 out of 9,1 out of 10,0.65,0,0.288,0.183,7 out of 10,3 out of 9,7 out of 10,0 out of 10,0.717,0,0.000,3.276,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.280,2.738,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.612,0.464,1 out of 10,2 out of 9,2 out of 10
2024,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,0.589,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.65,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.52,0.014,0.447,0.347,4 out of 10,2 out of 9,4 out of 10
2024,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.589,0,0.817,1.837,0 out of 10,0 out of 9,0 out of 10,0.65,0,1.115,1.470,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0,1.029,1.371,0 out of 10,0 out of 9,0 out of 10,0.738,0,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0,1.463,2.053,0 out of 10,0 out of 9,0 out of 10,0.52,0.014,0.824,0.359,3 out of 10,5 out of 9,5 out of 10
